PO Number,Item Name,Part Number,Description,Color,Quantity
PO-68163,Display Panel,PN-171039,Optimized for conference rooms,Beige,14
PO-50726,Control Processor,PN-311226,Supports 4K video,Silver,16
PO-28790,Power Conditioner,PN-885199,Ideal for corporate installations,Charcoal,10
PO-88631,Touch Panel,PN-848322,High quality component,Black,25
PO-98784,Control Processor,PN-494705,Compact design,Charcoal,4
PO-77265,Lighting Controller,PN-765746,Supports 4K video,Beige,5
PO-33133,USB Extender,PN-727042,Optimized for conference rooms,Silver,19
PO-22322,Lighting Controller,PN-230526,Designed for rack mounting,Blue,18
PO-10337,Wall Plate,PN-486339,Durable construction,Beige,12
PO-78204,HDMI Cable,PN-983503,Durable construction,Gray,3
PO-30405,HDMI Cable,PN-135180,Optimized for conference rooms,Charcoal,14
PO-85092,Video Switcher,PN-140739,Professional-grade AV part,Gray,23
PO-15737,HDMI Cable,PN-689621,Low latency audio processing,Silver,4
